Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 Samoa,4.0,4.6,3.7,4.2,4.7,5.3,5.6,5.6,6.0,7.8,8.8,9.0,8.9,9.8
 Sao Tome and Principe,37.1,31.7,31.9,12.0,9.9,6.3,5.3,33.4,11.0,13.9,2.9,2.8,4.1,4.5
 Senegal,7.9,7.2,6.2,4.8,6.0,8.9,8.9,7.7,8.9,7.8,8.8,9.1,13.5,
 Serbia,,,27.3,31.7,39.0,32.7,32.1,38.7,43.7,41.7,23.4,29.9,22.1,22.3
 Sierra Leone,6.9,7.8,2.9,1.7,2.1,2.7,3.4,1.7,1.5,2.3,6.6,4.1,7.2,
 Solomon Islands,9.1,2.5,6.0,5.4,4.2,6.2,2.7,4.6,7.3,2.8,2.4,3.8,3.9,5.6
 South Africa,6.4,8.7,4.2,6.9,6.0,5.6,4.8,7.9,10.6,6.6,8.8,14.4,13.4,19.9
 Sri Lanka,5.5,10.8,8.8,12.0,15.6,12.3,9.3,15.5,14.1,38.2,20.8,18.9,21.8,36.0
 Sudan,8.0,5.0,4.0,3.0,5.7,4.2,4.9,7.1,4.9,4.3,10.7,6.3,4.0,4.2
 Syria,,,,3.4,3.9,3.1,,,,,,,,
 Tajikistan,8.2,5.9,4.1,6.0,28.1,30.9,20.1,12.5,11.8,13.5,12.2,28.1,26.3,22.0
 Tanzania,4.4,2.5,1.7,1.3,3.1,2.9,1.9,1.8,2.7,3.0,3.9,7.4,8.4,
 Thailand,13.7,9.4,11.8,8.0,6.8,4.7,3.9,5.4,4.8,8.8,6.6,5.0,4.7,5.4
 Timor Leste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3
 Togo,2.5,3.0,1.6,16.0,4.3,2.6,0.7,1.1,2.3,2.8,3.2,4.8,5.0,
 Tonga,9.8,8.6,10.6,8.7,7.2,9.3,6.5,6.1,5.8,7.3,5.0,5.1,4.0,7.2
 Tunisia,13.7,15.6,12.3,7.9,10.6,10.5,11.6,11.6,11.0,8.6,11.3,11.7,16.8,14.0
 Turkey,37.4,32.9,32.3,30.1,41.5,36.5,30.8,26.9,29.7,25.8,27.4,39.4,40.2,36.7
 Uganda,10.8,5.6,2.6,2.4,2.1,1.8,1.5,1.4,1.8,4.2,2.0,17.4,3.7,12.2
 Ukraine,13.6,19.0,18.5,21.0,40.5,38.4,30.1,31.3,42.3,29.4,55.2,23.2,20.7,20.7
 Uzbekistan,,,,,,,,,,,,10.8,12.7,5.8
 Vanuatu,1.6,2.1,1.8,1.5,1.7,1.6,1.6,1.4,1.7,1.8,1.9,2.1,,
 Venezuela,12.0,8.7,14.6,11.4,20.1,23.9,23.3,25.1,26.7,31.2,69.9,69.0,,
 Viet Nam,2.6,2.1,2.2,2.0,2.3,2.3,3.9,3.6,3.2,4.2,3.8,3.9,5.9,7.1
 Yemen,3.1,2.9,3.3,2.7,3.6,2.8,2.6,2.7,2.8,3.8,18.9,14.6,,
 Zambia,10.0,3.2,2.4,3.0,3.5,1.9,2.3,2.2,2.9,3.7,6.6,9.9,9.3,14.6
 Zimbabwe,,,,,6.1,10.6,22.7,16.0,13.3,12.1,15.8,28.8,14.3,11.7
 Andorra,,,,,,,,,,,,,,
 United Arab Emirates,,,,,,,,,,,,,,
 Antigua and Barbuda,,,,,,,,,,,,,,
 Australia,,,,,,,,,,,,,,
 Austria,,,,,,,,,,,,,,
 Belgium,,,,,,,,,,,,,,
 Bahrain,,,,,,,,,,,,,,
 Bahamas,,,,,,,,,,,,,,
 Barbados,,,,,,,,,,,,,,
 Brunei Darussalam,,,,,,,,,,,,,,
 Canada,,,,,,,,,,,,,,
 Switzerland,,,,,,,,,,,,,,
 Chile,,,,,,,,,,,,,,
 Cuba,,,,,,,,,,,,,,
 Cyprus,,,,,,,,,,,,,,
 Czechia,,,,,,,,,,,,,,
 Germany,,,,,,,,,,,,,,
 Denmark,,,,,,,,,,,,,,
 Spain,,,,,,,,,,,,,,
 Estonia,,,,,,,,,,,,,,
 Finland,,,,,,,,,,,,,,
 France,,,,,,,,,,,,,,
 Micronesia,,,,,,,,,,,,,,
 United Kingdom,,,,,,,,,,,,,,
 Equatorial Guinea,,,,,,,,,,,,,,
 Greece,,,,,,,,,,,,,,
 Hong Kong,,,,,,,,,,,,,,
 Croatia,,,,,,,,,,,,,,
 Hungary,,,,,,,,,,,,,,
 Ireland,,,,,,,,,,,,,,
 Iraq,,,,,,,,,,,,,,
 Iceland,,,,,,,,,,,,,,
 Israel,,,,,,,,,,,,,,
 Italy,,,,,,,,,,,,,,
 Japan,,,,,,,,,,,,,,
 Kiribati,,,,,,,,,,,,,,
 Saint Kitts and Nevis,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,
 Kuwait,,,,,,,,,,,,,,
 Libya,,,,,,,,,,,,,,
 Liechtenstein,,,,,,,,,,,,,,
 Lithuania,,,,,,,,,,,,,,
 Luxembourg,,,,,,,,,,,,,,
 Latvia,,,,,,,,,,,,,,
 Marshall Islands,,,,,,,,,,,,,,
 Malta,,,,,,,,,,,,,,
 Malaysia,,,,,,,,,,,,,,
 Namibia,,,,,,,,,,,,,,
 Netherlands,,,,,,,,,,,,,,
 Norway,,,,,,,,,,,,,,
 New Zealand,,,,,,,,,,,,,,
 Oman,,,,,,,,,,,,,,
 Panama,,,,,,,,,,,,,,
 Palau,,,,,,,,,,,,,,
 Poland,,,,,,,,,,,,,,
 Portugal,,,,,,,,,,,,,,
 Palestine,,,,,,,,,,,,,,
 Qatar,,,,,,,,,,,,,,
 Saudi Arabia,,,,,,,,,,,,,,
 Singapore,,,,,,,,,,,,,,
 South Sudan,,,,,,,,,,,,,,
 Suriname,,,,,,,,,,,,,,
 Slovakia,,,,,,,,,,,,,,
 Slovenia,,,,,,,,,,,,,,
 Sweden,,,,,,,,,,,,,,
 Seychelles,,,,,,,,,,,,,,
 Turkmenistan,,,,,,,,,,,,,,
 Trinidad and Tobago,,,,,,,,,,,,,,
 Uruguay,,,,,,,,,,,,,,
 United States,,,,,,,,,,,,,,
