Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Iran,13806,14005,12807,12625,13039,12698,14205,14536,14536,14536
 Iraq,9064,9436,10358,10719,10401,10311,11542,10972,10660,10881
 Ireland,53041,52992,52887,53320,57461,71243,73035,78128,83471,86781
 Israel,34928,35928,36067,36869,37527,37633,38372,38967,39543,40162
 Italy,42873,43102,41705,40465,40094,40445,41038,41785,42198,42413
 Jamaica,9435,9545,9433,9425,9436,9471,9551,9598,9738,9761
 Japan,37487,37513,38135,38954,39152,39673,39926,40859,41074,41429
 Jordan,11131,10821,10520,10272,10116,9971,9867,9841,9854,9906
 Kazakhstan,20751,21970,22703,23721,24356,24290,24211,24863,25544,26351
 Kenya,3330,3439,3502,3612,3709,3825,3953,4046,4204,4330
 Kiribati,1927,1924,1984,2039,1997,2174,2253,2241,2259,2275
 Korea (Republic of),34431,35427,36088,37061,38008,38870,39857,41001,41894,42661
 Kuwait,58810,60887,61417,58995,56647,54834,54709,50856,50479,49846
 Kyrgyzstan,4141,4335,4259,4631,4722,4805,4912,5047,5133,5253
 Lao,4850,5159,5489,5842,6193,6544,6896,7258,7593,7826
 Latvia,20953,22679,23912,24732,25444,26490,27207,28489,29942,30830
 Lebanon,19499,18726,18036,17533,16967,16299,16109,16005,15612,14717
 Lesotho,2274,2386,2533,2621,2677,2727,2843,2783,2749,2768
 Liberia,1420,1488,1561,1652,1621,1580,1516,1516,1497,1428
 Libya,22540,8480,18807,16160,12201,11022,10592,13238,15018,15174
 Lithuania,23992,26019,27381,28644,29905,30801,31993,33821,35390,36975
 Luxembourg,108197,108505,105557,106915,108911,110952,113554,112823,114110,114482
 Madagascar,1553,1535,1539,1532,1541,1547,1566,1584,1613,1646
 Malawi,969,987,977,999,1027,1027,1025,1038,1043,1060
 Malaysia,20540,21293,22136,22860,23911,24792,25546,26648,27537,28351
 Maldives,16304,17014,16708,17132,17567,17283,17583,17989,18509,18914
 Mali,2083,2086,2008,1996,2076,2141,2198,2248,2283,2327
 Malta,31607,31901,32499,33596,35827,38781,40113,41555,43064,43340
 Marshall Islands,3653,3615,3517,3634,3585,3625,3654,3781,3894,3894
 Mauritania,4767,4822,4891,4946,5009,5127,5046,5077,5042,5197
 Mauritius,16798,17455,18015,18579,19240,19897,20647,21415,22208,22989
 Mexico,17817,18213,18623,18628,18907,19288,19612,19796,19992,19746
 Micronesia,3668,3765,3658,3476,3348,3456,3445,3498,3469,3469
 Moldova,8550,9053,9001,9817,10314,10361,10943,11651,12373,13034
 Mongolia,7480,8613,9488,10384,10980,11023,10940,11312,11916,12310
 Montenegro,16717,17239,16755,17333,17625,18212,18745,19627,20629,21379
 Morocco,6284,6525,6628,6831,6915,7130,7109,7314,7438,7515
 Mozambique,1027,1073,1120,1165,1217,1263,1274,1284,1290,1280
 Myanmar,3130,3280,3491,3753,4020,4269,4483,4740,5029,5142
 Namibia,8888,9177,9474,9833,10216,10488,10267,10051,9932,9637
 Nauru,6706,7339,7996,9921,11463,11295,11183,10682,11487,11599
 Nepal,2356,2434,2556,2668,2829,2912,2902,3099,3253,3417
 Netherlands,52278,52842,52104,51883,52433,53223,54101,55348,56455,57141
 New Zealand,37066,37652,38285,38991,39799,40467,41084,41493,42635,42888
 Nicaragua,4612,4838,5083,5264,5443,5630,5812,6004,5695,5407
 Niger,1033,1018,1082,1099,1126,1131,1150,1162,1196,1219
 Nigeria,4932,5057,5131,5329,5516,5515,5285,5190,5155,5136
 North Macedonia,13309,13609,13535,13919,14412,14956,15372,15529,15944,16506
 Norway,60290,60097,60916,60806,61309,61896,62010,62941,63333,63633
 Oman,34901,32288,32810,31818,30563,30193,30191,29083,28594,27896
 Pakistan,3907,3929,3981,4069,4171,4278,4422,4571,4740,4690
 Palau,15063,15983,16374,16174,16862,18520,18604,17866,18070,18070
 Palestine,4973,5451,5652,5640,5499,5559,5692,5755,5662,5662
 Panama,21347,23354,25201,26486,27358,28436,29338,30455,31049,31459
 Papua New Guinea,3414,3377,3461,3521,3918,4204,4289,4353,4236,4388
 Paraguay,10405,10700,10497,11225,11612,11810,12157,12594,12850,12685
 Peru,10066,10617,11176,11724,11877,12110,12404,12507,12782,12848
 Philippines,5918,6044,6351,6666,6974,7300,7705,8121,8516,8908
 Poland,23976,25166,25570,25942,26823,27871,28738,30153,31766,33086
 Portugal,31838,31344,30194,30081,30483,31158,31887,33086,34013,34798
 Qatar,100691,104091,101021,99134,97938,97306,96060,95058,94503,92651
 Romania,20241,20749,21274,22104,22944,23944,25238,27192,28565,29909
 Russian,24035,25049,26013,26413,26137,25566,25569,26006,26668,27044
 Rwanda,1507,1587,1682,1718,1780,1889,1950,1975,2089,2226
 Saint Kitts and Nevis,23708,23931,23191,24224,25522,25569,26078,25356,25900,26357
 Saint Lucia,14110,14760,14639,14105,14290,14030,14517,14946,15261,15449
 Saint Vincent and the Grenadines,11448,11394,11538,11730,11846,11972,12164,12245,12466,12466
 Samoa,6021,6222,5916,5841,5800,6007,6457,6495,6329,6517
 San Marino,71596,64747,59354,58078,56979,57821,58807,58861,59350,59350
 Sao Tome and Principe,3329,3397,3431,3528,3689,3758,3841,3916,3945,3964
 Saudi Arabia,44037,46989,48024,47848,48209,48921,48627,47309,47597,46962
 Senegal,2743,2707,2767,2767,2868,2966,3068,3204,3315,3395
 Serbia,14455,14867,14837,15341,15168,15514,16116,16534,17355,18180
 Seychelles,20982,23240,23303,24253,24955,25609,26422,27243,27997,29056
 Sierra Leone,1414,1469,1654,1953,1998,1552,1611,1643,1663,1718
 Singapore,78160,81399,82970,85586,87809,89366,91076,94941,97745,97341
 Slovakia,26072,26784,27245,27399,28125,29454,30040,30907,32067,32793
 Slovenia,33498,33717,32758,32377,33240,33950,34984,36651,38022,38689
 Solomon Islands,2059,2271,2313,2319,2308,2303,2315,2338,2365,2367
 South Africa,12452,12667,12744,12852,12884,12840,12704,12703,12631,12482
 Spain,37393,36957,35840,35442,36040,37451,38554,39576,40329,40883
 Sri Lanka,9127,9828,10712,10990,11428,11891,12287,12584,12865,13078
 Sudan,3218,3654,4007,4084,4093,4192,4285,4363,4161,3958
 Suriname,16921,17709,17981,18304,18153,17349,16218,16341,16609,16329
 Sweden,48519,49693,49036,49200,50009,51705,52116,52739,53146,53205
 Switzerland,64479,64845,64806,65251,66039,66162,66571,67139,68479,68628
 Tajikistan,2260,2373,2493,2616,2727,2822,2943,3090,3235,3380
 Tanzania,2007,2098,2129,2206,2285,2354,2442,2530,2590,2660
 Thailand,14413,14465,15440,15783,15870,16302,16798,17421,18087,18463
 Timor Leste,2930,3046,3172,3183,3265,3303,3356,3166,3080,3123
 Togo,1225,1269,1316,1361,1404,1447,1490,1517,1553,1596
 Tonga,5491,5668,5764,5637,5796,6026,6208,6322,6267,6267
 Trinidad and Tobago,28911,28653,28830,29279,28828,29183,27201,26448,26273,26176
 Tunisia,10113,9821,10115,10305,10505,10520,10525,10605,10764,10756
 Turkey,20042,21931,22609,24117,24935,26015,26409,27934,28299,28167
 Turkmenistan,8617,9718,10604,11471,12421,12994,13563,14205,14845,14845
 Tuvalu,3286,3499,3331,3446,3456,3729,3799,3904,3953,4288
 Uganda,1860,1971,1982,1988,2021,2052,2073,2075,2122,2181
 Ukraine,11778,12467,12527,12553,12409,11237,11535,11871,12338,12810
 United Arab Emirates,54922,56123,57391,59922,62379,65219,66511,67184,66968,67119
 United Kingdom,42154,42470,42799,43423,44228,44913,45429,45975,46310,46699
 United States,54437,54885,55713,56351,57314,58536,59029,59958,61544,62683
 Uruguay,17713,18574,19174,20001,20582,20588,20862,21325,21591,21561
 Uzbekistan,4652,4881,5164,5470,5764,6087,6346,6519,6755,6999
 Vanuatu,3245,3197,3164,3136,3121,3042,3066,3121,3130,3144
 Viet Nam,5089,5352,5574,5815,6098,6438,6768,7156,7586,8041
 Zambia,3126,3201,3339,3400,3450,3444,3468,3485,3522,3479
 Zimbabwe,2273,2556,2932,2938,2955,2958,2935,3028,3130,2836
 Andorra,,,,,,,,,,
 Cuba,,,,,,,,,,
 Eritrea,,,,,,,,,,
 Liechtenstein,,,,,,,,,,
 South Sudan,,,,,,,,,,
 Syria,,,,,,,,,,
 Venezuela,,,,,,,,,,
 Yemen,,,,,,,,,,
